in s,C1 in V
-2.5891200E-03,5.29297E-03
-2.5890100E-03,1.50586E-02
-2.5889000E-03,-1.42383E-02
-2.5887900E-03,5.29297E-03
-2.5886800E-03,-2.40039E-02
-2.5885700E-03,2.97070E-02
-2.5884600E-03,1.01758E-02
-2.5883500E-03,1.01758E-02
-2.5882400E-03,1.50586E-02
-2.5881300E-03,1.50586E-02
-2.5880200E-03,4.10156E-04
-2.5879100E-03,5.29297E-03
-2.5878000E-03,1.50586E-02
-2.5876900E-03,-4.47266E-03
-2.5875800E-03,1.99414E-02
-2.5874700E-03,-1.42383E-02
-2.5873600E-03,4.10156E-04
-2.5872500E-03,-9.35547E-03
-2.5871400E-03,1.01758E-02
-2.5870300E-03,2.48242E-02
-2.5869200E-03,1.99414E-02
-2.5868100E-03,1.50586E-02
-2.5867000E-03,1.01758E-02
-2.5865900E-03,1.99414E-02
-2.5864800E-03,1.50586E-02
-2.5863700E-03,2.97070E-02
-2.5862600E-03,1.50586E-02
-2.5861500E-03,1.99414E-02
-2.5860400E-03,5.29297E-03
-2.5859300E-03,1.01758E-02
-2.5858200E-03,2.97070E-02
-2.5857100E-03,-1.42383E-02
-2.5856000E-03,1.50586E-02
-2.5854900E-03,-4.47266E-03
-2.5853800E-03,5.29297E-03
-2.5852700E-03,4.10156E-04
-2.5851600E-03,4.10156E-04
-2.5850500E-03,1.99414E-02
-2.5849400E-03,1.01758E-02
-2.5848300E-03,1.99414E-02
-2.5847200E-03,1.50586E-02
-2.5846100E-03,4.10156E-04
-2.5845000E-03,-1.91211E-02
-2.5843900E-03,-1.91211E-02
-2.5842800E-03,-3.37695E-02
-2.5841700E-03,1.50586E-02
-2.5840600E-03,5.29297E-03
-2.5839500E-03,-2.88867E-02
-2.5838400E-03,-1.91211E-02
-2.5837300E-03,-9.35547E-03
-2.5836200E-03,5.29297E-03
-2.5835100E-03,1.99414E-02
-2.5834000E-03,1.01758E-02
-2.5832900E-03,-4.47266E-03
-2.5831800E-03,1.01758E-02
-2.5830700E-03,1.99414E-02
-2.5829600E-03,4.10156E-04
-2.5828500E-03,5.29297E-03
-2.5827400E-03,1.01758E-02
-2.5826300E-03,4.10156E-04
-2.5825200E-03,1.01758E-02
-2.5824100E-03,2.97070E-02
-2.5823000E-03,4.10156E-04
-2.5821900E-03,1.50586E-02
-2.5820800E-03,-9.35547E-03
-2.5819700E-03,-4.47266E-03
-2.5818600E-03,1.99414E-02
-2.5817500E-03,4.10156E-04
-2.5816400E-03,1.99414E-02
-2.5815300E-03,2.97070E-02
-2.5814200E-03,1.01758E-02
-2.5813100E-03,-1.42383E-02
-2.5812000E-03,-4.47266E-03
-2.5810900E-03,-1.42383E-02
-2.5809800E-03,2.97070E-02
-2.5808700E-03,-1.91211E-02
-2.5807600E-03,4.43555E-02
-2.5806500E-03,-1.42383E-02
-2.5805400E-03,-1.42383E-02
-2.5804300E-03,5.29297E-03
-2.5803200E-03,-9.35547E-03
-2.5802100E-03,1.50586E-02
-2.5801000E-03,1.01758E-02
-2.5799900E-03,5.29297E-03
-2.5798800E-03,-4.47266E-03
-2.5797700E-03,4.10156E-04
-2.5796600E-03,-4.47266E-03
-2.5795500E-03,1.01758E-02
-2.5794400E-03,-4.47266E-03
-2.5793300E-03,5.29297E-03
-2.5792200E-03,-4.47266E-03
-2.5791100E-03,5.29297E-03
-2.5790000E-03,-4.47266E-03
-2.5788900E-03,4.10156E-04
-2.5787800E-03,1.50586E-02
-2.5786700E-03,-1.42383E-02
-2.5785600E-03,5.29297E-03
-2.5784500E-03,5.29297E-03
-2.5783400E-03,-4.47266E-03
-2.5782300E-03,2.48242E-02
-2.5781200E-03,1.99414E-02
-2.5780100E-03,3.94727E-02
-2.5779000E-03,-4.47266E-03
-2.5777900E-03,5.29297E-03
-2.5776800E-03,-4.47266E-03
-2.5775700E-03,-4.47266E-03
-2.5774600E-03,-9.35547E-03
-2.5773500E-03,-4.47266E-03
-2.5772400E-03,5.29297E-03
-2.5771300E-03,4.10156E-04
-2.5770200E-03,1.50586E-02
-2.5769100E-03,1.01758E-02
-2.5768000E-03,1.01758E-02
-2.5766900E-03,-4.47266E-03
-2.5765800E-03,1.01758E-02
-2.5764700E-03,-9.35547E-03
-2.5763600E-03,-2.88867E-02
-2.5762500E-03,-4.47266E-03
-2.5761400E-03,1.50586E-02
-2.5760300E-03,5.29297E-03
-2.5759200E-03,-1.42383E-02
-2.5758100E-03,-9.35547E-03
-2.5757000E-03,-4.47266E-03
-2.5755900E-03,1.50586E-02
-2.5754800E-03,1.50586E-02
-2.5753700E-03,1.50586E-02
-2.5752600E-03,4.10156E-04
-2.5751500E-03,-4.47266E-03
-2.5750400E-03,-1.91211E-02
-2.5749300E-03,5.29297E-03
-2.5748200E-03,-9.35547E-03
-2.5747100E-03,1.01758E-02
-2.5746000E-03,1.01758E-02
-2.5744900E-03,-1.42383E-02
-2.5743800E-03,-1.91211E-02
-2.5742700E-03,4.10156E-04
-2.5741600E-03,4.10156E-04
-2.5740500E-03,1.50586E-02
-2.5739400E-03,1.01758E-02
-2.5738300E-03,1.01758E-02
-2.5737200E-03,-1.42383E-02
-2.5736100E-03,1.50586E-02
-2.5735000E-03,1.50586E-02
-2.5733900E-03,4.10156E-04
-2.5732800E-03,1.50586E-02
-2.5731700E-03,-1.42383E-02
-2.5730600E-03,1.50586E-02
-2.5729500E-03,5.29297E-03
-2.5728400E-03,1.01758E-02
-2.5727300E-03,1.50586E-02
-2.5726200E-03,1.01758E-02
-2.5725100E-03,1.99414E-02
-2.5724000E-03,1.99414E-02
-2.5722900E-03,1.99414E-02
-2.5721800E-03,1.99414E-02
-2.5720700E-03,2.48242E-02
-2.5719600E-03,-4.47266E-03
-2.5718500E-03,-4.47266E-03
-2.5717400E-03,-9.35547E-03
-2.5716300E-03,2.48242E-02
-2.5715200E-03,-4.47266E-03
-2.5714100E-03,-1.42383E-02
-2.5713000E-03,1.50586E-02
-2.5711900E-03,5.29297E-03
-2.5710800E-03,-1.42383E-02
-2.5709700E-03,1.01758E-02
-2.5708600E-03,5.29297E-03
-2.5707500E-03,5.29297E-03
-2.5706400E-03,-3.37695E-02
-2.5705300E-03,1.50586E-02
-2.5704200E-03,-4.47266E-03
-2.5703100E-03,-4.47266E-03
-2.5702000E-03,-4.47266E-03
-2.5700900E-03,1.50586E-02
-2.5699800E-03,4.10156E-04
-2.5698700E-03,4.10156E-04
-2.5697600E-03,1.01758E-02
-2.5696500E-03,-9.35547E-03
-2.5695400E-03,1.99414E-02
-2.5694300E-03,1.01758E-02
-2.5693200E-03,4.10156E-04
-2.5692100E-03,4.10156E-04
-2.5691000E-03,2.48242E-02
-2.5689900E-03,1.99414E-02
-2.5688800E-03,-1.42383E-02
-2.5687700E-03,5.29297E-03
-2.5686600E-03,1.01758E-02
-2.5685500E-03,1.01758E-02
-2.5684400E-03,-4.47266E-03
-2.5683300E-03,-4.47266E-03
-2.5682200E-03,-9.35547E-03
-2.5681100E-03,4.10156E-04
-2.5680000E-03,1.01758E-02
-2.5678900E-03,1.01758E-02
-2.5677800E-03,1.01758E-02
-2.5676700E-03,4.10156E-04
-2.5675600E-03,-1.42383E-02
-2.5674500E-03,5.29297E-03
-2.5673400E-03,4.10156E-04
-2.5672300E-03,4.10156E-04
-2.5671200E-03,5.29297E-03
-2.5670100E-03,1.50586E-02
-2.5669000E-03,-1.42383E-02
-2.5667900E-03,-4.47266E-03
-2.5666800E-03,5.29297E-03
-2.5665700E-03,4.10156E-04
-2.5664600E-03,1.99414E-02
-2.5663500E-03,-1.42383E-02
-2.5662400E-03,-1.42383E-02
-2.5661300E-03,-4.47266E-03
-2.5660200E-03,1.50586E-02
-2.5659100E-03,1.50586E-02
-2.5658000E-03,-4.47266E-03
-2.5656900E-03,4.10156E-04
-2.5655800E-03,1.01758E-02
-2.5654700E-03,-1.42383E-02
-2.5653600E-03,-1.91211E-02
-2.5652500E-03,5.29297E-03
-2.5651400E-03,1.01758E-02
-2.5650300E-03,5.29297E-03
-2.5649200E-03,5.29297E-03
-2.5648100E-03,-4.47266E-03
-2.5647000E-03,2.48242E-02
-2.5645900E-03,-1.42383E-02
-2.5644800E-03,5.29297E-03
-2.5643700E-03,-4.47266E-03
-2.5642600E-03,1.99414E-02
-2.5641500E-03,-9.35547E-03
-2.5640400E-03,3.45898E-02
-2.5639300E-03,1.01758E-02
-2.5638200E-03,1.01758E-02
-2.5637100E-03,1.01758E-02
-2.5636000E-03,-4.47266E-03
-2.5634900E-03,1.99414E-02
-2.5633800E-03,5.29297E-03
-2.5632700E-03,-4.47266E-03
-2.5631600E-03,4.10156E-04
-2.5630500E-03,-4.47266E-03
-2.5629400E-03,-4.47266E-03
-2.5628300E-03,1.01758E-02
-2.5627200E-03,1.01758E-02
-2.5626100E-03,5.29297E-03
-2.5625000E-03,5.29297E-03
-2.5623900E-03,-2.40039E-02
-2.5622800E-03,-4.47266E-03
-2.5621700E-03,1.99414E-02
-2.5620600E-03,1.99414E-02
-2.5619500E-03,5.29297E-03
-2.5618400E-03,-9.35547E-03
-2.5617300E-03,-1.42383E-02
-2.5616200E-03,1.50586E-02
-2.5615100E-03,1.99414E-02
-2.5614000E-03,5.29297E-03
-2.5612900E-03,1.01758E-02
-2.5611800E-03,-2.40039E-02
-2.5610700E-03,4.10156E-04
-2.5609600E-03,-9.35547E-03
-2.5608500E-03,1.50586E-02
-2.5607400E-03,1.50586E-02
-2.5606300E-03,-9.35547E-03
-2.5605200E-03,-4.47266E-03
-2.5604100E-03,1.01758E-02
-2.5603000E-03,1.50586E-02
-2.5601900E-03,1.99414E-02
-2.5600800E-03,1.01758E-02
-2.5599700E-03,1.01758E-02
-2.5598600E-03,5.29297E-03
-2.5597500E-03,-4.47266E-03
-2.5596400E-03,4.10156E-04
-2.5595300E-03,1.50586E-02
-2.5594200E-03,-1.42383E-02
-2.5593100E-03,-4.47266E-03
-2.5592000E-03,-4.47266E-03
-2.5590900E-03,5.29297E-03
-2.5589800E-03,1.99414E-02
-2.5588700E-03,1.01758E-02
-2.5587600E-03,2.48242E-02
-2.5586500E-03,-4.47266E-03
-2.5585400E-03,-9.35547E-03
-2.5584300E-03,3.45898E-02
-2.5583200E-03,-9.35547E-03
-2.5582100E-03,4.10156E-04
-2.5581000E-03,1.50586E-02
-2.5579900E-03,4.10156E-04
-2.5578800E-03,1.50586E-02
-2.5577700E-03,1.50586E-02
-2.5576600E-03,1.50586E-02
-2.5575500E-03,2.48242E-02
-2.5574400E-03,5.29297E-03
-2.5573300E-03,1.50586E-02
-2.5572200E-03,-4.47266E-03
-2.5571100E-03,1.99414E-02
-2.5570000E-03,-4.47266E-03
-2.5568900E-03,5.29297E-03
-2.5567800E-03,4.43555E-02
-2.5566700E-03,2.48242E-02
-2.5565600E-03,4.10156E-04
-2.5564500E-03,-1.42383E-02
-2.5563400E-03,2.48242E-02
-2.5562300E-03,-1.42383E-02
-2.5561200E-03,1.01758E-02
-2.5560100E-03,1.01758E-02
